size_bytes,filename,filepath,is_empty,wav_readable,scan_status,recorder_id,start_dt,date,month,birdnet_week48,session,file_id,min_to_sunrise,min_to_sunset,solar_slot,duration_s,samplerate,channels,format,subtype,end_dt,birdnet_status,perch_status,updated_at,last_error
1382400864,2453AC0263FBD00C_20250412_055000.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250412_055000.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-12 05:50:00,2025-04-12,4.0,14.0,morning,2453AC0263FBD00C_20250412_055000,-54.0,,sunrise_-60,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-12 07:50:00.000000,pending,pending,2026-01-05 13:58:58.050869,
690240864,2453AC0263FBD00C_20250412_075005.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250412_075005.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-12 07:50:05,2025-04-12,4.0,14.0,morning,2453AC0263FBD00C_20250412_075005,66.1,,sunrise_60,3595.0,96000.0,1.0,WAV,PCM_16,2025-04-12 08:50:00.000000,pending,pending,2026-01-05 13:58:58.066967,
1382400865,2453AC0263FBD00C_20250412_182000.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250412_182000.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-12 18:20:00,2025-04-12,4.0,14.0,evening,2453AC0263FBD00C_20250412_182000,,-124.3,sunset_-120,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-12 20:20:00.000000,pending,pending,2026-01-05 13:58:58.091827,
1381440865,2453AC0263FBD00C_20250412_202005.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250412_202005.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-12 20:20:05,2025-04-12,4.0,14.0,evening,2453AC0263FBD00C_20250412_202005,,-4.2,sunset_0,7195.0,96000.0,1.0,WAV,PCM_16,2025-04-12 22:20:00.000000,pending,pending,2026-01-05 13:58:58.112394,
1382400865,2453AC0263FBD00C_20250413_054500.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250413_054500.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-13 05:45:00,2025-04-13,4.0,14.0,morning,2453AC0263FBD00C_20250413_054500,-56.8,,sunrise_-60,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-13 07:45:00.000000,pending,pending,2026-01-05 13:58:58.132023,
1382208864,2453AC0263FBD00C_20250414_054501.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250414_054501.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-14 05:45:01,2025-04-14,4.0,14.0,morning,2453AC0263FBD00C_20250414_054501,-54.7,,sunrise_-60,7199.0,96000.0,1.0,WAV,PCM_16,2025-04-14 07:45:00.000000,pending,pending,2026-01-05 13:58:58.151768,
690240865,2453AC0263FBD00C_20250414_074505.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250414_074505.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-14 07:45:05,2025-04-14,4.0,14.0,morning,2453AC0263FBD00C_20250414_074505,65.4,,sunrise_60,3595.0,96000.0,1.0,WAV,PCM_16,2025-04-14 08:45:00.000000,pending,pending,2026-01-05 13:58:58.176512,
1382400865,2453AC0263FBD00C_20250414_182500.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250414_182500.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-14 18:25:00,2025-04-14,4.0,14.0,evening,2453AC0263FBD00C_20250414_182500,,-122.6,sunset_-120,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-14 20:25:00.000000,pending,pending,2026-01-05 13:58:58.200281,
1381440865,2453AC0263FBD00C_20250414_202505.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250414_202505.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-14 20:25:05,2025-04-14,4.0,14.0,evening,2453AC0263FBD00C_20250414_202505,,-2.5,sunset_0,7195.0,96000.0,1.0,WAV,PCM_16,2025-04-14 22:25:00.000000,pending,pending,2026-01-05 13:58:58.221354,
1382208864,2453AC0263FBD00C_20250415_054001.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250415_054001.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-15 05:40:01,2025-04-15,4.0,15.0,morning,2453AC0263FBD00C_20250415_054001,-57.5,,sunrise_-60,7199.0,96000.0,1.0,WAV,PCM_16,2025-04-15 07:40:00.000000,pending,pending,2026-01-05 13:58:58.238107,
