input,start_time,end_time,species_name,confidence
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:05:47.00","00:05:50.00","Ficedula albicollis_Collared Flycatcher",0.267994
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:05:50.00","00:05:53.00","Muscicapa dauurica_Asian Brown Flycatcher",0.100733
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:05:51.00","00:05:54.00","Myadestes occidentalis_Brown-backed Solitaire",0.101563
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:06:01.00","00:06:04.00","Myadestes occidentalis_Brown-backed Solitaire",0.319199
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:06:14.00","00:06:17.00","Hippolais icterina_Icterine Warbler",0.211348
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:06:27.00","00:06:30.00","Palmeria dolei_Akohekohe",0.325142
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:06:28.00","00:06:31.00","Palmeria dolei_Akohekohe",0.321867
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:06:33.00","00:06:36.00","Brachyramphus marmoratus_Marbled Murrelet",0.507599
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:06:36.00","00:06:39.00","Myadestes occidentalis_Brown-backed Solitaire",0.117565
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:06:37.00","00:06:40.00","Myadestes occidentalis_Brown-backed Solitaire",0.127542
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:06:41.00","00:06:44.00","Ficedula albicollis_Collared Flycatcher",0.225548
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:06:41.00","00:06:44.00","Certhia brachydactyla_Short-toed Treecreeper",0.149432
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:06:42.00","00:06:45.00","Certhia brachydactyla_Short-toed Treecreeper",0.123604
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:06:43.00","00:06:46.00","Certhia brachydactyla_Short-toed Treecreeper",0.293131
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:06:44.00","00:06:47.00","Certhia brachydactyla_Short-toed Treecreeper",0.147759
