input,start_time,end_time,species_name,confidence
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:00.00","00:13:03.00","Himatione sanguinea_Apapane",0.133281
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:01.00","00:13:04.00","Himatione sanguinea_Apapane",0.206746
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:02.00","00:13:05.00","Erithacus rubecula_European Robin",0.204187
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:03.00","00:13:06.00","Erithacus rubecula_European Robin",0.155642
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:03.00","00:13:06.00","Tetrao urogallus_Western Capercaillie",0.127036
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:04.00","00:13:07.00","Myadestes occidentalis_Brown-backed Solitaire",0.104456
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:07.00","00:13:10.00","Poecile palustris_Marsh Tit",0.108903
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:09.00","00:13:12.00","Erithacus rubecula_European Robin",0.132590
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:11.00","00:13:14.00","Myadestes townsendi_Townsend's Solitaire",0.165301
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:12.00","00:13:15.00","Sitta canadensis_Red-breasted Nuthatch",0.499178
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:14.00","00:13:17.00","Erithacus rubecula_European Robin",0.218144
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:20.00","00:13:23.00","Palmeria dolei_Akohekohe",0.141183
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:20.00","00:13:23.00","Pseudonestor xanthophrys_Maui Parrotbill",0.119814
