input,start_time,end_time,species_name,confidence
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:47.00","00:00:50.00","Cyanoptila cyanomelana_Blue-and-white Flycatcher",0.103611
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:48.00","00:00:51.00","Turdus philomelos_Song Thrush",0.246479
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:49.00","00:00:52.00","Turdus philomelos_Song Thrush",0.227975
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:50.00","00:00:53.00","Turdus olivater_Black-hooded Thrush",0.345530
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:50.00","00:00:53.00","Turdus philomelos_Song Thrush",0.300104
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:50.00","00:00:53.00","Turdus leucops_Pale-eyed Thrush",0.118908
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:51.00","00:00:54.00","Erithacus rubecula_European Robin",0.223619
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:51.00","00:00:54.00","Turdus philomelos_Song Thrush",0.107308
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:52.00","00:00:55.00","Erithacus rubecula_European Robin",0.332765
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:53.00","00:00:56.00","Erithacus rubecula_European Robin",0.358514
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:53.00","00:00:56.00","Scolopax rusticola_Eurasian Woodcock",0.164264
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:54.00","00:00:57.00","Turdus philomelos_Song Thrush",0.396232
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:54.00","00:00:57.00","Scolopax rusticola_Eurasian Woodcock",0.324774
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:54.00","00:00:57.00","Erithacus rubecula_European Robin",0.146493
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:55.00","00:00:58.00","Scolopax rusticola_Eurasian Woodcock",0.257191
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:55.00","00:00:58.00","Turdus philomelos_Song Thrush",0.188275
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:56.00","00:00:59.00","Scolopax rusticola_Eurasian Woodcock",0.286131
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:56.00","00:00:59.00","Turdus philomelos_Song Thrush",0.278912
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:56.00","00:00:59.00","Erithacus rubecula_European Robin",0.103377
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:57.00","00:01:00.00","Turdus philomelos_Song Thrush",0.520913
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:58.00","00:01:01.00","Turdus merula_Eurasian Blackbird",0.768253
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:58.00","00:01:01.00","Turdus philomelos_Song Thrush",0.659984
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:59.00","00:01:02.00","Turdus philomelos_Song Thrush",0.229078
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:59.00","00:01:02.00","Sitta europaea_Eurasian Nuthatch",0.141108
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:00.00","00:01:03.00","Turdus philomelos_Song Thrush",0.284012
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:01.00","00:01:04.00","Turdus philomelos_Song Thrush",0.113660
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:04.00","00:01:07.00","Pyrrhula pyrrhula_Eurasian Bullfinch",0.218059
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:05.00","00:01:08.00","Pyrrhula pyrrhula_Eurasian Bullfinch",0.548681
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:06.00","00:01:09.00","Scolopax rusticola_Eurasian Woodcock",0.139801
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:07.00","00:01:10.00","Motacilla alba_White Wagtail",0.259737
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:08.00","00:01:11.00","Motacilla alba_White Wagtail",0.152313
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:10.00","00:01:13.00","Turdus philomelos_Song Thrush",0.270841
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:11.00","00:01:14.00","Turdus philomelos_Song Thrush",0.298592
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:11.00","00:01:14.00","Certhia brachydactyla_Short-toed Treecreeper",0.111850
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:12.00","00:01:15.00","Phylloscartes difficilis_Serra do Mar Tyrannulet",0.111953
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:14.00","00:01:17.00","Carduelis citrinella_Citril Finch",0.170325
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:14.00","00:01:17.00","Turdus philomelos_Song Thrush",0.113397
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:15.00","00:01:18.00","Turdus philomelos_Song Thrush",0.198871
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:16.00","00:01:19.00","Turdus philomelos_Song Thrush",0.257090
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:20.00","00:01:23.00","Halcyon smyrnensis_White-throated Kingfisher",0.116182
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:21.00","00:01:24.00","Halcyon albiventris_Brown-hooded Kingfisher",0.433865
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:01:21.00","00:01:24.00","Haliaeetus leucocephalus_Bald Eagle",0.298770
